bin_left,bin_mid,bin_right,count,density,z_mid
1562,1562.675,1563.3499999999999,1,0.0007407407407407407,-3.5991972579751246
1563.3499999999999,1564.0250000000001,1564.7,0,0,-3.4859701170558948
1564.7,1565.375,1566.05,0,0,-3.3727429761366841
1566.05,1566.7249999999999,1567.4000000000001,0,0,-3.2595158352174733
1567.4000000000001,1568.075,1568.75,0,0,-3.1462886942982435
1568.75,1569.425,1570.0999999999999,2,0.0014814814814814814,-3.0330615533790328
1570.0999999999999,1570.7750000000001,1571.45,0,0,-2.919834412459803
1571.45,1572.125,1572.8,1,0.0007407407407407407,-2.8066072715405923
1572.8,1573.4749999999999,1574.1500000000001,2,0.0014814814814814814,-2.6933801306213816
1574.1500000000001,1574.825,1575.5,0,0,-2.5801529897021518
1575.5,1576.175,1576.8499999999999,7,0.005185185185185185,-2.4669258487829411
1576.8499999999999,1577.5250000000001,1578.2,2,0.0014814814814814814,-2.3536987078637113
1578.2,1578.875,1579.55,0,0,-2.2404715669445006
1579.55,1580.2249999999999,1580.9000000000001,7,0.005185185185185185,-2.1272444260252898
1580.9000000000001,1581.575,1582.25,10,0.0074074074074074077,-2.01401728510606
1582.25,1582.925,1583.5999999999999,0,0,-1.9007901441868493
1583.5999999999999,1584.2750000000001,1584.95,12,0.0088888888888888889,-1.7875630032676195
1584.95,1585.625,1586.3,17,0.012592592592592593,-1.6743358623484088
1586.3,1586.9749999999999,1587.6500000000001,0,0,-1.5611087214291981
1587.6500000000001,1588.325,1589,24,0.017777777777777778,-1.4478815805099683
1589,1589.675,1590.3499999999999,37,0.027407407407407408,-1.3346544395907576
1590.3499999999999,1591.0250000000001,1591.7,0,0,-1.2214272986715278
1591.7,1592.375,1593.05,32,0.023703703703703703,-1.1082001577523171
1593.05,1593.7249999999999,1594.4000000000001,40,0.029629629629629631,-0.99497301683310635
1594.4000000000001,1595.075,1595.75,0,0,-0.88174587591387654
1595.75,1596.425,1597.0999999999999,38,0.028148148148148148,-0.76851873499466583
1597.0999999999999,1597.7750000000001,1598.45,54,0.040000000000000001,-0.65529159407543613
1598.45,1599.125,1599.8,0,0,-0.54206445315622542
1599.8,1600.4749999999999,1601.1500000000001,49,0.036296296296296299,-0.42883731223701466
1601.1500000000001,1601.825,1602.5,56,0.04148148148148148,-0.31561017131778485
1602.5,1603.175,1603.8499999999999,0,0,-0.20238303039857414
1603.8499999999999,1604.5250000000001,1605.2,70,0.05185185185185185,-0.089155889479344358
1605.2,1605.875,1606.55,73,0.054074074074074073,0.024071251439866354
1606.55,1607.2249999999999,1607.9000000000001,0,0,0.13729839235907706
1607.9000000000001,1608.575,1609.25,71,0.052592592592592594,0.25052553327830684
1609.25,1609.925,1610.5999999999999,66,0.048888888888888891,0.36375267419751756
1610.5999999999999,1611.2750000000001,1611.95,0,0,0.47697981511674736
1611.95,1612.625,1613.3,63,0.046666666666666669,0.59020695603595807
1613.3,1613.9749999999999,1614.6500000000001,57,0.042222222222222223,0.70343409695516879
1614.6500000000001,1615.325,1616,0,0,0.81666123787439859
1616,1616.675,1617.3499999999999,41,0.03037037037037037,0.9298883787936093
1617.3499999999999,1618.0250000000001,1618.7,35,0.025925925925925925,1.043115519712839
1618.7,1619.375,1620.05,38,0.028148148148148148,1.1563426606320497
1620.05,1620.7249999999999,1621.4000000000001,0,0,1.2695698015512604
1621.4000000000001,1622.075,1622.75,24,0.017777777777777778,1.3827969424704902
1622.75,1623.425,1624.0999999999999,19,0.014074074074074074,1.4960240833897009
1624.0999999999999,1624.7750000000001,1625.45,0,0,1.6092512243089307
1625.45,1626.125,1626.8,20,0.014814814814814815,1.7224783652281415
1626.8,1627.4749999999999,1628.1500000000001,17,0.012592592592592593,1.8357055061473522
1628.1500000000001,1628.825,1629.5,0,0,1.948932647066582
1629.5,1630.175,1630.8499999999999,6,0.0044444444444444444,2.0621597879857929
1630.8499999999999,1631.5250000000001,1632.2,2,0.0014814814814814814,2.1753869289050227
1632.2,1632.875,1633.55,0,0,2.2886140698242334
1633.55,1634.2249999999999,1634.9000000000001,1,0.0007407407407407407,2.4018412107434441
1634.9000000000001,1635.575,1636.25,3,0.0022222222222222222,2.515068351662674
1636.25,1636.925,1637.5999999999999,0,0,2.6282954925818847
1637.5999999999999,1638.2750000000001,1638.95,2,0.0014814814814814814,2.7415226335011145
1638.95,1639.625,1640.3,0,0,2.8547497744203252
1640.3,1640.9749999999999,1641.6500000000001,0,0,2.9679769153395359
1641.6500000000001,1642.325,1643,1,0.0007407407407407407,3.0812040562587657
